x,y,z,type
68,-252,0,malignant_epithelial_cell
58,-251,0,malignant_epithelial_cell
120,-251,0,malignant_epithelial_cell
-212,-250,0,M0_macrophage
-51,-250,0,malignant_epithelial_cell
30,-250,0,malignant_epithelial_cell
50,-250,0,malignant_epithelial_cell
150,-250,0,malignant_epithelial_cell
-11,-249,0,malignant_epithelial_cell
22,-249,0,malignant_epithelial_cell
-160,-248,0,malignant_epithelial_cell
-98,-248,0,malignant_epithelial_cell
-52,-248,0,malignant_epithelial_cell
-50,-248,0,malignant_epithelial_cell
-81,-247,0,malignant_epithelial_cell
-64,-247,0,malignant_epithelial_cell
-57,-247,0,malignant_epithelial_cell
-9,-247,0,malignant_epithelial_cell
84,-247,0,malignant_epithelial_cell
-3,-246,0,malignant_epithelial_cell
166,-243,0,malignant_epithelial_cell
142,-242,0,malignant_epithelial_cell
-50,-241,0,malignant_epithelial_cell
-38,-241,0,malignant_epithelial_cell
-5,-241,0,malignant_epithelial_cell
105,-241,0,malignant_epithelial_cell
-249,-240,0,effector_T_cell
17,-240,0,malignant_epithelial_cell
-342,-239,0,effector_T_cell
-120,-238,0,malignant_epithelial_cell
-84,-238,0,malignant_epithelial_cell
-12,-238,0,malignant_epithelial_cell
-52,-237,0,malignant_epithelial_cell
38,-237,0,malignant_epithelial_cell
66,-237,0,malignant_epithelial_cell
114,-237,0,malignant_epithelial_cell
-9,-236,0,malignant_epithelial_cell
-147,-235,0,malignant_epithelial_cell
-383,-234,0,M0_macrophage
-172,-234,0,malignant_epithelial_cell
-172,-233,0,malignant_epithelial_cell
-183,-231,0,malignant_epithelial_cell
-156,-231,0,malignant_epithelial_cell
-139,-231,0,malignant_epithelial_cell
-119,-231,0,malignant_epithelial_cell
-36,-231,0,malignant_epithelial_cell
-22,-231,0,malignant_epithelial_cell
-46,-230,0,malignant_epithelial_cell
52,-230,0,malignant_epithelial_cell
163,-230,0,malignant_epithelial_cell
-170,-229,0,malignant_epithelial_cell
-75,-229,0,malignant_epithelial_cell
-18,-229,0,malignant_epithelial_cell
-81,-228,0,malignant_epithelial_cell
122,-228,0,malignant_epithelial_cell
-154,-227,0,malignant_epithelial_cell
-72,-227,0,malignant_epithelial_cell
156,-227,0,malignant_epithelial_cell
180,-227,0,malignant_epithelial_cell
-190,-226,0,malignant_epithelial_cell
-77,-226,0,malignant_epithelial_cell
138,-226,0,malignant_epithelial_cell
-282,-225,0,M0_macrophage
-85,-225,0,malignant_epithelial_cell
-80,-225,0,malignant_epithelial_cell
47,-225,0,malignant_epithelial_cell
-123,-224,0,malignant_epithelial_cell
-91,-224,0,malignant_epithelial_cell
-11,-224,0,malignant_epithelial_cell
-352,-223,0,effector_T_cell
-123,-223,0,malignant_epithelial_cell
-200,-221,0,malignant_epithelial_cell
-43,-221,0,malignant_epithelial_cell
-36,-221,0,malignant_epithelial_cell
22,-221,0,malignant_epithelial_cell
149,-221,0,malignant_epithelial_cell
-222,-220,0,effector_T_cell
147,-220,0,malignant_epithelial_cell
-360,-219,0,effector_T_cell
-71,-219,0,malignant_epithelial_cell
78,-219,0,malignant_epithelial_cell
150,-219,0,malignant_epithelial_cell
157,-219,0,malignant_epithelial_cell
22,-218,0,malignant_epithelial_cell
126,-218,0,malignant_epithelial_cell
206,-218,0,malignant_epithelial_cell
-161,-216,0,malignant_epithelial_cell
-73,-216,0,malignant_epithelial_cell
-158,-215,0,malignant_epithelial_cell
204,-215,0,malignant_epithelial_cell
-148,-214,0,malignant_epithelial_cell
-24,-214,0,malignant_epithelial_cell
53,-214,0,malignant_epithelial_cell
130,-214,0,malignant_epithelial_cell
-320,-213,0,effector_T_cell
-228,-212,0,effector_T_cell
32,-212,0,malignant_epithelial_cell
76,-212,0,malignant_epithelial_cell
73,-211,0,malignant_epithelial_cell
342,-211,0,M0_macrophage
-167,-210,0,malignant_epithelial_cell
294,-210,0,effector_T_cell
-57,-209,0,malignant_epithelial_cell
-147,-208,0,malignant_epithelial_cell
-71,-208,0,malignant_epithelial_cell
-24,-208,0,malignant_epithelial_cell
16,-208,0,malignant_epithelial_cell
-75,-207,0,malignant_epithelial_cell
45,-207,0,malignant_epithelial_cell
-322,-206,0,effector_T_cell
46,-206,0,malignant_epithelial_cell
-25,-205,0,malignant_epithelial_cell
40,-205,0,malignant_epithelial_cell
12,-204,0,malignant_epithelial_cell
-18,-202,0,malignant_epithelial_cell
124,-202,0,malignant_epithelial_cell
-206,-201,0,malignant_epithelial_cell
-97,-201,0,malignant_epithelial_cell
-59,-201,0,malignant_epithelial_cell
-58,-201,0,malignant_epithelial_cell
190,-201,0,malignant_epithelial_cell
216,-201,0,malignant_epithelial_cell
-129,-200,0,malignant_epithelial_cell
-36,-200,0,malignant_epithelial_cell
151,-200,0,malignant_epithelial_cell
360,-200,0,effector_T_cell
-58,-198,0,malignant_epithelial_cell
-51,-197,0,malignant_epithelial_cell
94,-197,0,malignant_epithelial_cell
-218,-196,0,malignant_epithelial_cell
190,-195,0,malignant_epithelial_cell
30,-194,0,malignant_epithelial_cell
110,-194,0,malignant_epithelial_cell
125,-193,0,malignant_epithelial_cell
-292,-192,0,effector_T_cell
-175,-192,0,malignant_epithelial_cell
-187,-191,0,malignant_epithelial_cell
-136,-191,0,malignant_epithelial_cell
-288,-189,0,effector_T_cell
-150,-188,0,malignant_epithelial_cell
-119,-187,0,malignant_epithelial_cell
-52,-187,0,malignant_epithelial_cell
-81,-186,0,malignant_epithelial_cell
-208,-185,0,malignant_epithelial_cell
-115,-184,0,malignant_epithelial_cell
53,-184,0,malignant_epithelial_cell
113,-184,0,malignant_epithelial_cell
-227,-183,0,malignant_epithelial_cell
212,-183,0,malignant_epithelial_cell
-17,-182,0,malignant_epithelial_cell
227,-182,0,malignant_epithelial_cell
-310,-181,0,M0_macrophage
128,-181,0,malignant_epithelial_cell
234,-181,0,malignant_epithelial_cell
-232,-180,0,malignant_epithelial_cell
-175,-180,0,malignant_epithelial_cell
-111,-180,0,malignant_epithelial_cell
-37,-180,0,malignant_epithelial_cell
-35,-180,0,malignant_epithelial_cell
209,-180,0,malignant_epithelial_cell
-164,-179,0,malignant_epithelial_cell
-204,-178,0,malignant_epithelial_cell
-145,-178,0,malignant_epithelial_cell
73,-178,0,malignant_epithelial_cell
-31,-177,0,malignant_epithelial_cell
176,-177,0,malignant_epithelial_cell
201,-177,0,malignant_epithelial_cell
346,-177,0,effector_T_cell
200,-176,0,malignant_epithelial_cell
223,-176,0,malignant_epithelial_cell
-121,-175,0,malignant_epithelial_cell
86,-175,0,malignant_epithelial_cell
-176,-174,0,malignant_epithelial_cell
-106,-174,0,malignant_epithelial_cell
63,-174,0,malignant_epithelial_cell
119,-173,0,malignant_epithelial_cell
-158,-172,0,malignant_epithelial_cell
-152,-172,0,malignant_epithelial_cell
100,-172,0,malignant_epithelial_cell
-215,-171,0,malignant_epithelial_cell
-56,-171,0,malignant_epithelial_cell
124,-170,0,malignant_epithelial_cell
175,-170,0,malignant_epithelial_cell
225,-170,0,malignant_epithelial_cell
233,-170,0,malignant_epithelial_cell
247,-170,0,malignant_epithelial_cell
-208,-169,0,malignant_epithelial_cell
-186,-169,0,malignant_epithelial_cell
-83,-169,0,malignant_epithelial_cell
188,-169,0,malignant_epithelial_cell
-214,-168,0,malignant_epithelial_cell
-155,-168,0,malignant_epithelial_cell
-139,-168,0,malignant_epithelial_cell
367,-168,0,effector_T_cell
79,-167,0,malignant_epithelial_cell
153,-167,0,malignant_epithelial_cell
317,-167,0,effector_T_cell
-225,-166,0,malignant_epithelial_cell
-212,-166,0,malignant_epithelial_cell
196,-164,0,malignant_epithelial_cell
-128,-163,0,malignant_epithelial_cell
-121,-163,0,malignant_epithelial_cell
-35,-163,0,malignant_epithelial_cell
132,-163,0,malignant_epithelial_cell
139,-163,0,malignant_epithelial_cell
-44,-162,0,malignant_epithelial_cell
52,-162,0,malignant_epithelial_cell
-207,-161,0,malignant_epithelial_cell
162,-161,0,malignant_epithelial_cell
217,-161,0,malignant_epithelial_cell
-219,-160,0,malignant_epithelial_cell
-53,-160,0,malignant_epithelial_cell
143,-160,0,malignant_epithelial_cell
400,-160,0,effector_T_cell
-142,-159,0,malignant_epithelial_cell
-133,-159,0,malignant_epithelial_cell
-67,-159,0,malignant_epithelial_cell
329,-159,0,M0_macrophage
-97,-158,0,malignant_epithelial_cell
3,-158,0,malignant_epithelial_cell
127,-158,0,malignant_epithelial_cell
211,-158,0,malignant_epithelial_cell
-154,-157,0,malignant_epithelial_cell
-73,-157,0,malignant_epithelial_cell
92,-157,0,malignant_epithelial_cell
108,-157,0,malignant_epithelial_cell
-101,-156,0,malignant_epithelial_cell
22,-156,0,malignant_epithelial_cell
-243,-155,0,malignant_epithelial_cell
-202,-155,0,malignant_epithelial_cell
-133,-155,0,malignant_epithelial_cell
-120,-155,0,malignant_epithelial_cell
-102,-155,0,malignant_epithelial_cell
184,-154,0,malignant_epithelial_cell
205,-153,0,malignant_epithelial_cell
-126,-152,0,malignant_epithelial_cell
-118,-152,0,malignant_epithelial_cell
-66,-152,0,malignant_epithelial_cell
45,-152,0,malignant_epithelial_cell
138,-152,0,malignant_epithelial_cell
-238,-151,0,malignant_epithelial_cell
180,-151,0,malignant_epithelial_cell
-179,-150,0,malignant_epithelial_cell
-151,-150,0,malignant_epithelial_cell
-77,-150,0,malignant_epithelial_cell
-33,-150,0,malignant_epithelial_cell
-21,-150,0,malignant_epithelial_cell
-75,-149,0,malignant_epithelial_cell
78,-149,0,malignant_epithelial_cell
245,-149,0,malignant_epithelial_cell
-138,-148,0,malignant_epithelial_cell
-242,-147,0,malignant_epithelial_cell
143,-147,0,malignant_epithelial_cell
155,-147,0,malignant_epithelial_cell
-180,-146,0,malignant_epithelial_cell
151,-146,0,malignant_epithelial_cell
163,-146,0,malignant_epithelial_cell
-148,-145,0,malignant_epithelial_cell
-129,-145,0,malignant_epithelial_cell
78,-145,0,malignant_epithelial_cell
-192,-144,0,malignant_epithelial_cell
-184,-144,0,malignant_epithelial_cell
-112,-144,0,malignant_epithelial_cell
-49,-144,0,malignant_epithelial_cell
227,-144,0,malignant_epithelial_cell
-217,-143,0,malignant_epithelial_cell
-99,-143,0,malignant_epithelial_cell
-32,-143,0,malignant_epithelial_cell
17,-143,0,malignant_epithelial_cell
172,-143,0,malignant_epithelial_cell
18,-142,0,malignant_epithelial_cell
187,-142,0,malignant_epithelial_cell
63,-141,0,malignant_epithelial_cell
98,-141,0,malignant_epithelial_cell
-183,-140,0,malignant_epithelial_cell
95,-140,0,malignant_epithelial_cell
157,-140,0,malignant_epithelial_cell
-262,-139,0,malignant_epithelial_cell
-217,-139,0,malignant_epithelial_cell
-213,-139,0,malignant_epithelial_cell
-162,-139,0,malignant_epithelial_cell
193,-139,0,malignant_epithelial_cell
-210,-138,0,malignant_epithelial_cell
47,-138,0,malignant_epithelial_cell
-341,-137,0,M0_macrophage
193,-137,0,malignant_epithelial_cell
254,-137,0,malignant_epithelial_cell
-91,-136,0,malignant_epithelial_cell
93,-136,0,malignant_epithelial_cell
-268,-134,0,malignant_epithelial_cell
-189,-134,0,malignant_epithelial_cell
-91,-134,0,malignant_epithelial_cell
-6,-134,0,malignant_epithelial_cell
26,-134,0,malignant_epithelial_cell
-218,-133,0,malignant_epithelial_cell
-123,-133,0,malignant_epithelial_cell
131,-133,0,malignant_epithelial_cell
-134,-132,0,malignant_epithelial_cell
18,-132,0,malignant_epithelial_cell
236,-132,0,malignant_epithelial_cell
-262,-131,0,malignant_epithelial_cell
-242,-131,0,malignant_epithelial_cell
189,-131,0,malignant_epithelial_cell
214,-131,0,malignant_epithelial_cell
224,-131,0,malignant_epithelial_cell
-249,-130,0,malignant_epithelial_cell
186,-130,0,malignant_epithelial_cell
246,-130,0,malignant_epithelial_cell
253,-130,0,malignant_epithelial_cell
-260,-129,0,malignant_epithelial_cell
-173,-129,0,malignant_epithelial_cell
-38,-128,0,malignant_epithelial_cell
16,-128,0,malignant_epithelial_cell
-341,-127,0,M0_macrophage
-143,-127,0,malignant_epithelial_cell
-46,-127,0,malignant_epithelial_cell
107,-127,0,malignant_epithelial_cell
184,-127,0,malignant_epithelial_cell
195,-127,0,malignant_epithelial_cell
248,-127,0,malignant_epithelial_cell
271,-126,0,malignant_epithelial_cell
-172,-125,0,malignant_epithelial_cell
-110,-125,0,malignant_epithelial_cell
89,-125,0,malignant_epithelial_cell
-159,-124,0,malignant_epithelial_cell
-45,-124,0,malignant_epithelial_cell
-402,-123,0,effector_T_cell
-241,-123,0,malignant_epithelial_cell
362,-122,0,effector_T_cell
-247,-121,0,malignant_epithelial_cell
-153,-121,0,malignant_epithelial_cell
-75,-121,0,malignant_epithelial_cell
98,-121,0,malignant_epithelial_cell
-197,-120,0,malignant_epithelial_cell
126,-120,0,malignant_epithelial_cell
-247,-119,0,malignant_epithelial_cell
-231,-119,0,malignant_epithelial_cell
-64,-119,0,malignant_epithelial_cell
-165,-118,0,malignant_epithelial_cell
90,-118,0,malignant_epithelial_cell
222,-118,0,malignant_epithelial_cell
32,-117,0,malignant_epithelial_cell
72,-116,0,malignant_epithelial_cell
145,-116,0,malignant_epithelial_cell
188,-116,0,malignant_epithelial_cell
219,-116,0,malignant_epithelial_cell
-108,-115,0,malignant_epithelial_cell
-407,-114,0,effector_T_cell
-52,-114,0,malignant_epithelial_cell
130,-114,0,malignant_epithelial_cell
-177,-113,0,malignant_epithelial_cell
-161,-113,0,malignant_epithelial_cell
63,-112,0,malignant_epithelial_cell
178,-112,0,malignant_epithelial_cell
-79,-111,0,malignant_epithelial_cell
53,-111,0,malignant_epithelial_cell
102,-111,0,malignant_epithelial_cell
-19,-110,0,malignant_epithelial_cell
196,-110,0,malignant_epithelial_cell
-206,-109,0,malignant_epithelial_cell
115,-109,0,malignant_epithelial_cell
10,-108,0,malignant_epithelial_cell
259,-108,0,malignant_epithelial_cell
99,-107,0,malignant_epithelial_cell
177,-107,0,malignant_epithelial_cell
194,-107,0,malignant_epithelial_cell
268,-107,0,malignant_epithelial_cell
-214,-106,0,malignant_epithelial_cell
-173,-106,0,malignant_epithelial_cell
-148,-106,0,malignant_epithelial_cell
-92,-106,0,malignant_epithelial_cell
199,-106,0,malignant_epithelial_cell
-250,-105,0,malignant_epithelial_cell
-216,-105,0,malignant_epithelial_cell
-35,-105,0,malignant_epithelial_cell
68,-104,0,malignant_epithelial_cell
201,-104,0,malignant_epithelial_cell
235,-104,0,malignant_epithelial_cell
245,-104,0,malignant_epithelial_cell
277,-104,0,malignant_epithelial_cell
-79,-103,0,malignant_epithelial_cell
314,-103,0,effector_T_cell
-177,-101,0,malignant_epithelial_cell
-91,-101,0,malignant_epithelial_cell
53,-101,0,malignant_epithelial_cell
68,-101,0,malignant_epithelial_cell
388,-101,0,M0_macrophage
-257,-100,0,malignant_epithelial_cell
-210,-100,0,malignant_epithelial_cell
-28,-100,0,malignant_epithelial_cell
19,-100,0,malignant_epithelial_cell
111,-100,0,malignant_epithelial_cell
187,-100,0,malignant_epithelial_cell
193,-100,0,malignant_epithelial_cell
44,-98,0,malignant_epithelial_cell
171,-98,0,malignant_epithelial_cell
214,-98,0,malignant_epithelial_cell
-228,-97,0,malignant_epithelial_cell
-145,-97,0,malignant_epithelial_cell
-124,-97,0,malignant_epithelial_cell
78,-97,0,malignant_epithelial_cell
260,-97,0,malignant_epithelial_cell
244,-96,0,malignant_epithelial_cell
-258,-95,0,malignant_epithelial_cell
-166,-95,0,malignant_epithelial_cell
-140,-95,0,malignant_epithelial_cell
77,-95,0,malignant_epithelial_cell
235,-95,0,malignant_epithelial_cell
415,-95,0,effector_T_cell
187,-94,0,malignant_epithelial_cell
246,-94,0,malignant_epithelial_cell
-389,-93,0,M0_macrophage
-274,-93,0,malignant_epithelial_cell
-23,-93,0,malignant_epithelial_cell
-17,-93,0,malignant_epithelial_cell
16,-93,0,malignant_epithelial_cell
66,-93,0,malignant_epithelial_cell
-224,-92,0,malignant_epithelial_cell
33,-92,0,malignant_epithelial_cell
55,-92,0,malignant_epithelial_cell
397,-92,0,M0_macrophage
-18,-91,0,malignant_epithelial_cell
-158,-90,0,malignant_epithelial_cell
-33,-90,0,malignant_epithelial_cell
62,-90,0,malignant_epithelial_cell
91,-90,0,malignant_epithelial_cell
143,-90,0,malignant_epithelial_cell
191,-90,0,malignant_epithelial_cell
235,-89,0,malignant_epithelial_cell
-150,-88,0,malignant_epithelial_cell
-71,-88,0,malignant_epithelial_cell
-44,-88,0,malignant_epithelial_cell
13,-88,0,malignant_epithelial_cell
-98,-87,0,malignant_epithelial_cell
-69,-87,0,malignant_epithelial_cell
-54,-87,0,malignant_epithelial_cell
-40,-87,0,malignant_epithelial_cell
88,-87,0,malignant_epithelial_cell
116,-87,0,malignant_epithelial_cell
-147,-85,0,malignant_epithelial_cell
125,-85,0,malignant_epithelial_cell
126,-85,0,malignant_epithelial_cell
159,-85,0,malignant_epithelial_cell
-194,-84,0,malignant_epithelial_cell
93,-84,0,malignant_epithelial_cell
145,-84,0,malignant_epithelial_cell
-381,-83,0,M0_macrophage
133,-83,0,malignant_epithelial_cell
-236,-82,0,malignant_epithelial_cell
-218,-82,0,malignant_epithelial_cell
-124,-82,0,malignant_epithelial_cell
139,-82,0,malignant_epithelial_cell
-266,-81,0,malignant_epithelial_cell
-70,-81,0,malignant_epithelial_cell
115,-81,0,malignant_epithelial_cell
-234,-80,0,malignant_epithelial_cell
-151,-80,0,malignant_epithelial_cell
-14,-80,0,malignant_epithelial_cell
139,-79,0,malignant_epithelial_cell
-334,-78,0,effector_T_cell
74,-78,0,malignant_epithelial_cell
85,-78,0,malignant_epithelial_cell
112,-78,0,malignant_epithelial_cell
144,-78,0,malignant_epithelial_cell
-399,-77,0,M0_macrophage
-277,-76,0,malignant_epithelial_cell
-206,-76,0,malignant_epithelial_cell
-181,-76,0,malignant_epithelial_cell
-43,-76,0,malignant_epithelial_cell
11,-76,0,malignant_epithelial_cell
288,-76,0,malignant_epithelial_cell
-120,-75,0,malignant_epithelial_cell
-42,-75,0,malignant_epithelial_cell
-39,-75,0,malignant_epithelial_cell
-272,-74,0,malignant_epithelial_cell
-60,-73,0,malignant_epithelial_cell
-429,-72,0,effector_T_cell
-201,-72,0,malignant_epithelial_cell
-177,-72,0,malignant_epithelial_cell
-176,-72,0,malignant_epithelial_cell
64,-72,0,malignant_epithelial_cell
90,-72,0,malignant_epithelial_cell
-141,-71,0,malignant_epithelial_cell
156,-71,0,malignant_epithelial_cell
265,-71,0,malignant_epithelial_cell
-284,-70,0,malignant_epithelial_cell
-157,-70,0,malignant_epithelial_cell
-143,-70,0,malignant_epithelial_cell
52,-70,0,malignant_epithelial_cell
124,-70,0,malignant_epithelial_cell
198,-70,0,malignant_epithelial_cell
-92,-69,0,malignant_epithelial_cell
9,-69,0,malignant_epithelial_cell
71,-69,0,malignant_epithelial_cell
98,-69,0,malignant_epithelial_cell
175,-69,0,malignant_epithelial_cell
271,-69,0,malignant_epithelial_cell
-291,-67,0,malignant_epithelial_cell
-274,-67,0,malignant_epithelial_cell
-211,-66,0,malignant_epithelial_cell
-158,-66,0,malignant_epithelial_cell
-57,-66,0,malignant_epithelial_cell
-44,-66,0,malignant_epithelial_cell
-26,-66,0,malignant_epithelial_cell
73,-66,0,malignant_epithelial_cell
128,-66,0,malignant_epithelial_cell
139,-66,0,malignant_epithelial_cell
273,-66,0,malignant_epithelial_cell
291,-66,0,malignant_epithelial_cell
-89,-65,0,malignant_epithelial_cell
247,-65,0,malignant_epithelial_cell
-229,-64,0,malignant_epithelial_cell
-119,-64,0,malignant_epithelial_cell
-174,-63,0,malignant_epithelial_cell
-5,-63,0,malignant_epithelial_cell
42,-63,0,malignant_epithelial_cell
-270,-62,0,malignant_epithelial_cell
-246,-62,0,malignant_epithelial_cell
-7,-62,0,malignant_epithelial_cell
320,-62,0,effector_T_cell
-265,-61,0,malignant_epithelial_cell
-79,-61,0,malignant_epithelial_cell
-74,-61,0,malignant_epithelial_cell
-33,-61,0,malignant_epithelial_cell
53,-61,0,malignant_epithelial_cell
159,-61,0,malignant_epithelial_cell
-7,-60,0,malignant_epithelial_cell
265,-60,0,malignant_epithelial_cell
-173,-59,0,malignant_epithelial_cell
-96,-59,0,malignant_epithelial_cell
120,-59,0,malignant_epithelial_cell
136,-59,0,malignant_epithelial_cell
200,-59,0,malignant_epithelial_cell
-170,-58,0,malignant_epithelial_cell
-154,-58,0,malignant_epithelial_cell
115,-58,0,malignant_epithelial_cell
-4,-57,0,malignant_epithelial_cell
23,-56,0,malignant_epithelial_cell
265,-56,0,malignant_epithelial_cell
-260,-55,0,malignant_epithelial_cell
-137,-55,0,malignant_epithelial_cell
-69,-55,0,malignant_epithelial_cell
-57,-55,0,malignant_epithelial_cell
-43,-55,0,malignant_epithelial_cell
54,-55,0,malignant_epithelial_cell
113,-55,0,malignant_epithelial_cell
285,-55,0,malignant_epithelial_cell
-283,-54,0,malignant_epithelial_cell
-159,-54,0,malignant_epithelial_cell
11,-54,0,malignant_epithelial_cell
-286,-53,0,malignant_epithelial_cell
-276,-53,0,malignant_epithelial_cell
-136,-52,0,malignant_epithelial_cell
-120,-52,0,malignant_epithelial_cell
19,-52,0,malignant_epithelial_cell
158,-52,0,malignant_epithelial_cell
-306,-51,0,M0_macrophage
-234,-51,0,malignant_epithelial_cell
-183,-51,0,malignant_epithelial_cell
-100,-51,0,malignant_epithelial_cell
64,-51,0,malignant_epithelial_cell
152,-51,0,malignant_epithelial_cell
-14,-50,0,malignant_epithelial_cell
-189,-49,0,malignant_epithelial_cell
-130,-49,0,malignant_epithelial_cell
131,-49,0,malignant_epithelial_cell
238,-49,0,malignant_epithelial_cell
-262,-47,0,malignant_epithelial_cell
-66,-47,0,malignant_epithelial_cell
177,-47,0,malignant_epithelial_cell
339,-47,0,effector_T_cell
-292,-46,0,malignant_epithelial_cell
66,-46,0,malignant_epithelial_cell
-84,-44,0,malignant_epithelial_cell
-26,-44,0,malignant_epithelial_cell
119,-43,0,malignant_epithelial_cell
134,-43,0,malignant_epithelial_cell
-143,-42,0,malignant_epithelial_cell
-15,-42,0,malignant_epithelial_cell
293,-42,0,malignant_epithelial_cell
-251,-41,0,malignant_epithelial_cell
-175,-41,0,malignant_epithelial_cell
69,-41,0,malignant_epithelial_cell
-240,-40,0,malignant_epithelial_cell
-43,-40,0,malignant_epithelial_cell
-32,-39,0,malignant_epithelial_cell
245,-39,0,malignant_epithelial_cell
295,-39,0,malignant_epithelial_cell
-254,-38,0,malignant_epithelial_cell
-151,-38,0,malignant_epithelial_cell
-69,-38,0,malignant_epithelial_cell
-40,-38,0,malignant_epithelial_cell
14,-38,0,malignant_epithelial_cell
94,-38,0,malignant_epithelial_cell
-252,-37,0,malignant_epithelial_cell
-127,-37,0,malignant_epithelial_cell
130,-37,0,malignant_epithelial_cell
-68,-36,0,malignant_epithelial_cell
-13,-36,0,malignant_epithelial_cell
72,-36,0,malignant_epithelial_cell
215,-36,0,malignant_epithelial_cell
-184,-35,0,malignant_epithelial_cell
-18,-35,0,malignant_epithelial_cell
-188,-34,0,malignant_epithelial_cell
-5,-34,0,malignant_epithelial_cell
56,-34,0,malignant_epithelial_cell
79,-34,0,malignant_epithelial_cell
79,-33,0,malignant_epithelial_cell
211,-33,0,malignant_epithelial_cell
246,-33,0,malignant_epithelial_cell
-213,-32,0,malignant_epithelial_cell
38,-32,0,malignant_epithelial_cell
171,-32,0,malignant_epithelial_cell
220,-32,0,malignant_epithelial_cell
64,-31,0,malignant_epithelial_cell
83,-31,0,malignant_epithelial_cell
-109,-30,0,malignant_epithelial_cell
265,-30,0,malignant_epithelial_cell
-62,-29,0,malignant_epithelial_cell
23,-29,0,malignant_epithelial_cell
39,-29,0,malignant_epithelial_cell
187,-29,0,malignant_epithelial_cell
199,-29,0,malignant_epithelial_cell
-230,-28,0,malignant_epithelial_cell
-197,-28,0,malignant_epithelial_cell
-133,-28,0,malignant_epithelial_cell
31,-28,0,malignant_epithelial_cell
58,-27,0,malignant_epithelial_cell
135,-27,0,malignant_epithelial_cell
211,-27,0,malignant_epithelial_cell
216,-27,0,malignant_epithelial_cell
-246,-26,0,malignant_epithelial_cell
52,-26,0,malignant_epithelial_cell
255,-26,0,malignant_epithelial_cell
259,-26,0,malignant_epithelial_cell
-230,-25,0,malignant_epithelial_cell
-155,-25,0,malignant_epithelial_cell
75,-25,0,malignant_epithelial_cell
133,-25,0,malignant_epithelial_cell
209,-25,0,malignant_epithelial_cell
251,-25,0,malignant_epithelial_cell
266,-25,0,malignant_epithelial_cell
-205,-24,0,malignant_epithelial_cell
-137,-24,0,malignant_epithelial_cell
146,-24,0,malignant_epithelial_cell
202,-24,0,malignant_epithelial_cell
-183,-23,0,malignant_epithelial_cell
-164,-23,0,malignant_epithelial_cell
22,-23,0,malignant_epithelial_cell
-162,-22,0,malignant_epithelial_cell
86,-22,0,malignant_epithelial_cell
151,-22,0,malignant_epithelial_cell
226,-22,0,malignant_epithelial_cell
230,-22,0,malignant_epithelial_cell
